,availableEvents,ym
0,0,201101
1,0,201102
2,0,201103
3,0,201104
4,0,201105
5,0,201106
6,0,201107
7,0,201108
8,0,201109
9,0,201110
10,0,201111
11,0,201112
12,0,201201
13,0,201202
14,0,201203
15,0,201204
16,0,201205
17,0,201206
18,0,201207
19,0,201208
20,0,201209
21,0,201210
22,0,201211
23,0,201212
24,0,201301
25,0,201302
26,0,201303
27,0,201304
28,0,201305
29,0,201306
30,0,201307
31,0,201308
32,0,201309
33,0,201310
34,0,201311
35,0,201312
36,0,201401
37,0,201402
38,0,201403
39,0,201404
40,0,201405
41,0,201406
42,0,201407
43,0,201408
44,0,201409
45,0,201410
46,0,201411
47,0,201412
48,0,201501
49,0,201502
50,0,201503
51,0,201504
52,1,201505
53,0,201506
54,1,201507
55,1,201508
56,1,201509
57,1,201510
58,1,201511
59,1,201512
60,1,201601
61,1,201602
62,1,201603
63,1,201604
64,1,201605
65,1,201606
66,3,201607
67,1,201608
68,2,201609
69,2,201610
70,2,201611
71,2,201612
72,3,201701
73,3,201702
